epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
44,2619.22,0.31533,0.27433,0.85832,0.99907,1,0.995,0.96605,0.25691,0.21623,0.72418,0.0011486,0.0011486,0.0011486
45,2677.13,0.30021,0.26287,0.84456,0.99908,1,0.995,0.96777,0.24233,0.2017,0.72241,0.0011288,0.0011288,0.0011288
46,2736.4,0.30175,0.25998,0.83523,0.98955,1,0.995,0.96358,0.26517,0.21043,0.72702,0.001109,0.001109,0.001109
47,2795.6,0.31237,0.26191,0.85509,0.98429,1,0.995,0.97134,0.24844,0.20971,0.72467,0.0010892,0.0010892,0.0010892
48,2855.56,0.30522,0.26403,0.84687,0.99838,1,0.995,0.97194,0.24852,0.19452,0.72209,0.0010694,0.0010694,0.0010694
49,2915.44,0.3088,0.25975,0.84847,0.99909,1,0.995,0.96721,0.25555,0.21549,0.72854,0.0010496,0.0010496,0.0010496
50,2975.67,0.3034,0.26021,0.84318,0.998,1,0.995,0.96473,0.26236,0.19373,0.72136,0.0010298,0.0010298,0.0010298
51,3035.06,0.29871,0.24767,0.83797,0.99872,1,0.995,0.96728,0.26184,0.22189,0.72367,0.00101,0.00101,0.00101
52,3093.5,0.2887,0.25587,0.83375,0.99799,1,0.995,0.96472,0.2488,0.23267,0.72166,0.0009902,0.0009902,0.0009902
53,3151.77,0.3083,0.25573,0.83829,0.99903,1,0.995,0.96366,0.25773,0.22905,0.72338,0.0009704,0.0009704,0.0009704
54,3210.3,0.3109,0.25455,0.84826,0.99901,1,0.995,0.96008,0.27933,0.23483,0.72707,0.0009506,0.0009506,0.0009506
55,3269.37,0.31322,0.26679,0.83195,0.99904,1,0.995,0.96885,0.24398,0.20572,0.72272,0.0009308,0.0009308,0.0009308
56,3329.72,0.28338,0.24557,0.83426,0.99848,1,0.995,0.97017,0.2273,0.19316,0.71667,0.000911,0.000911,0.000911
57,3389.65,0.29321,0.23731,0.8393,0.9991,1,0.995,0.98017,0.21691,0.17657,0.71796,0.0008912,0.0008912,0.0008912
58,3449.69,0.2934,0.23311,0.84205,0.99907,1,0.995,0.98102,0.21192,0.17762,0.7177,0.0008714,0.0008714,0.0008714
59,3508.95,0.26902,0.22031,0.84553,0.99854,1,0.995,0.97738,0.20524,0.1715,0.71725,0.0008516,0.0008516,0.0008516
60,3567.82,0.26848,0.22472,0.84256,0.99838,1,0.995,0.97321,0.23515,0.16993,0.71911,0.0008318,0.0008318,0.0008318
61,3627.09,0.27952,0.22912,0.84845,0.99453,1,0.995,0.97173,0.25677,0.17816,0.72444,0.000812,0.000812,0.000812
62,3686.65,0.27879,0.22641,0.8305,0.9848,1,0.995,0.97307,0.22871,0.18919,0.72057,0.0007922,0.0007922,0.0007922
63,3746.64,0.29102,0.23403,0.85136,0.98496,1,0.995,0.96381,0.25952,0.19904,0.72258,0.0007724,0.0007724,0.0007724
64,3806.69,0.26917,0.21933,0.83716,0.99909,1,0.995,0.9778,0.20523,0.17387,0.71419,0.0007526,0.0007526,0.0007526
65,3866.54,0.27515,0.22729,0.84718,0.99904,1,0.995,0.97454,0.22231,0.17741,0.7169,0.0007328,0.0007328,0.0007328
66,3926.19,0.28324,0.23891,0.8327,0.99896,1,0.995,0.97184,0.22073,0.17075,0.71622,0.000713,0.000713,0.000713
67,3989.78,0.26558,0.22899,0.83624,0.99906,1,0.995,0.97709,0.20932,0.17134,0.71367,0.0006932,0.0006932,0.0006932
68,4048.38,0.27026,0.23294,0.83489,0.99895,1,0.995,0.97747,0.23428,0.17405,0.71989,0.0006734,0.0006734,0.0006734
69,4105.83,0.2524,0.2196,0.83122,0.99906,1,0.995,0.9808,0.22655,0.17509,0.71704,0.0006536,0.0006536,0.0006536
70,4164.83,0.26751,0.2262,0.82515,0.99912,1,0.995,0.98296,0.21794,0.1664,0.71544,0.0006338,0.0006338,0.0006338
71,4224.7,0.26264,0.22075,0.83984,0.99913,1,0.995,0.97563,0.21841,0.17476,0.71629,0.000614,0.000614,0.000614
72,4284.63,0.25766,0.22231,0.8404,0.99912,1,0.995,0.97523,0.22109,0.18108,0.71594,0.0005942,0.0005942,0.0005942
73,4347.06,0.24983,0.22458,0.83845,0.99914,1,0.995,0.97289,0.23409,0.16982,0.71662,0.0005744,0.0005744,0.0005744
74,4409.99,0.29481,0.22814,0.86061,0.99911,1,0.995,0.97022,0.22161,0.17327,0.71533,0.0005546,0.0005546,0.0005546
75,4469.47,0.27016,0.21857,0.8353,0.99911,1,0.995,0.97491,0.22884,0.17979,0.72132,0.0005348,0.0005348,0.0005348
76,4526.18,0.24814,0.20168,0.83561,0.99913,1,0.995,0.97472,0.20961,0.1622,0.71625,0.000515,0.000515,0.000515
77,4585.43,0.23806,0.19954,0.84302,0.99913,1,0.995,0.97303,0.21124,0.16193,0.7162,0.0004952,0.0004952,0.0004952
78,4645.91,0.22982,0.19358,0.81714,0.99911,1,0.995,0.97744,0.20529,0.16199,0.71509,0.0004754,0.0004754,0.0004754
79,4707.21,0.24754,0.21372,0.83182,0.99911,1,0.995,0.97574,0.21396,0.16479,0.71493,0.0004556,0.0004556,0.0004556
80,4772.27,0.23132,0.19534,0.83063,0.99911,1,0.995,0.96893,0.22591,0.17624,0.71814,0.0004358,0.0004358,0.0004358
81,4846.72,0.23302,0.19834,0.83907,0.99911,1,0.995,0.9746,0.22293,0.16474,0.71467,0.000416,0.000416,0.000416
82,4923.59,0.23796,0.20269,0.83789,0.99912,1,0.995,0.98039,0.19768,0.15945,0.71277,0.0003962,0.0003962,0.0003962
83,4977.29,0.23053,0.1968,0.83074,0.99911,1,0.995,0.97998,0.19904,0.15456,0.71273,0.0003764,0.0003764,0.0003764
84,5020.09,0.24365,0.20384,0.82967,0.99909,1,0.995,0.97808,0.20132,0.15073,0.71348,0.0003566,0.0003566,0.0003566
85,5069.11,0.24246,0.20484,0.83374,0.99908,1,0.995,0.97418,0.21832,0.15715,0.71432,0.0003368,0.0003368,0.0003368
